----------------------------------------------------------------------------
## To change the localised text simply change the name after the single '|'
## Do not change anything in the 'Keys' collumn or the translation will fail
## Do not change / delete any line numbers or add new lines in the file.
----------------------------------------------------------------------------

----------------------------------------------------------------------------
KEYS						Translation
----------------------------------------------------------------------------
MSQ_Quest00					|Une seconde chance
CC01_Quest02				|Entre pêcheurs
CC01_Quest03				|Sous Bronzeflot
CC01_Quest04				|Perspicace
CC01_Quest05				|Prise du jour
CC01_Quest06				|Pêche sous la pluie
CC01_Quest07				|Extermination de crustacés
CC01_Quest08				|Les plus sombres profondeurs
CC01_Quest09				|La fin du voyage
CC01_Quest10				|Légende de la pêche
CC01_Quest11				|Poisson gelé
CC01_Quest12				|Coeur d'or
CC01_Quest13				|En un clin d'oeil
CC01_Quest14				|Le concours
CC01_Quest15				|Cours particuliers
CC01_Quest16				|Le spiritueux
CC01_Quest17				|Un festin mémorable
CC01_Quest18				|Terreur cornue
CC01_Quest19				|Les deux font la paire
CC01_Quest20				|Brise-Vague
CC01_Quest21				|Étude poussée
CC01_Quest22				|Récupération de déchets
CC01_Quest23				|Refaire le plein
----------------------------------------------------------------------------
CC02_Quest00				|Des envies suicidaires
CC02_Quest01				|Une question de fierté
CC02_Quest02				|Âme scindée
CC02_Quest03				|Givre antique
CC02_Quest04				|Coeur de cendre
CC02_Quest05				|Combat des champions
CC02_Quest06				|Par-delà la tombe
CC02_Quest07				|Coule-Sang
CC02_Quest08				|Colère bleue
CC02_Quest09				|Des os pour le corbeau
CC02_Quest10				|Frères de fer
CC02_Quest11				|Achats à risque
CC02_Quest12				|Vicaire négligent
CC02_Quest13				|À double tranchant
CC02_Quest14				|Rêves funèbres
CC02_Quest15				|Idole du féru
CC02_Quest16				|Saisons oubliées
CC02_Quest17				|Un fils chanceux
CC02_Quest18				|L'avantage du joueur
CC02_Quest19				|Fantômes du Tribunal
CC02_Quest20				|Des invités pour le dîner
CC02_Quest21				|Coeur poupre
CC02_Quest22				|Sa parole contre la leur
CC02_Quest23				|Dans l'ombre
CC02_Quest24				|Le sommeil des loups
CC02_Quest25				|Plus puissante que l'épée
CC02_Quest26				|Marchande disparue
CC02_Quest27				|Mon familier vasard
CC02_Quest28				|Chasseur nocturne
CC02_Quest29				|Il était une fois, un chasseur
CC02_Quest30				|Au bord du gouffre
CC02_Quest31				|Reliques du Divin Croisé
CC02_Quest32				|Tranche et cogne
CC02_Quest33				|Voleur d'âmes
CC02_Quest34				|Rapide comme une flèche
CC02_Quest35				|Les Armes du Chaos
CC02_Quest36				|La couronne dwemer
CC02_Quest37				|Le cheval dwemer
CC02_Quest38				|La bibliothèque perdue
CC02_Quest39				|Le paladin perdu
CC02_Quest40				|La Voie du pèlerin
CC02_Quest41				|La Fosse
CC02_Quest42				|L'Infatigable
CC02_Quest43				|Balance penchée
CC02_Quest44				|Viveflamme
CC02_Quest45				|Quand le chat n'est pas là
----------------------------------------------------------------------------
CC03_Quest00				|Forgeage d'ambre et de folie
CC03_Quest01				|Équilibre du pouvoir
CC03_Quest02				|Du sang dans l'eau
CC03_Quest03				|Pris au piège
CC03_Quest04				|Créature de légende
CC03_Quest05				|Crypte du Coeur
CC03_Quest06				|Don de Kynareth
CC03_Quest07				|Forgeage mazken et auréal
CC03_Quest08				|Hendraheim
CC03_Quest09				|Le Dovahkiin qui murmurait à l'oreille des chevaux
CC03_Quest10				|Si j'avais un marteau
CC03_Quest11				|Interception
CC03_Quest12				|Légendes perdues
CC03_Quest13				|Les yeux plus gros que le ventre
CC03_Quest14				|Mon élytra de compagnie (Démentia)
CC03_Quest15				|Mon élytra de compagnie (Mania)
CC03_Quest16				|Mon chien de Nix à moi
CC03_Quest17				|Myrwatch
CC03_Quest18				|Brisenerfs
CC03_Quest19				|Bijoux nordiques
CC03_Quest20				|Familiers de Bordeciel
CC03_Quest21				|Un bon coup de fourchette
CC03_Quest22				|Restaurer l'ordre
CC03_Quest23				|Préparation de Saturalia
CC03_Quest24				|Sanctuaire de l'Ombre furtive
CC03_Quest25				|Staada
CC03_Quest26				|La Cause
CC03_Quest27				|Les Conséquences
CC03_Quest28				|Au bord de la ruine
CC03_Quest29				|Le Capuchon gris de Nocturne
CC03_Quest30				|Le réveil des morts
CC03_Quest31				|Le sanctuaire et la manufacture
CC03_Quest32				|Le bâton d'Hasedoki
CC03_Quest33				|De l'autre côté du miroir
CC03_Quest34				|Vils murmures
CC03_Quest35				|Vigile impie
----------------------------------------------------------------------------
Dawnstar_Quest00			|Tuez le géant (Skald)
Dawnstar_Quest01			|Les fragments du passé
Dawnstar_Quest02			|Cauchemar éveillé
Dawnstar_Quest03			|Les loups de mer
Dawnstar_Quest04			|Fouiller le donjon (Frida)
Dawnstar_Quest05			|À votre santé (Karl)
Dawnstar_Quest06			|Précieux cadeaux (Rustleif)
Dawnstar_Quest07			|Thane du Clos
Dawnstar_Quest08			|Extraction de minerai (Beitild)
Dawnstar_Quest09			|Extraction de minerai (Leigelf)
----------------------------------------------------------------------------
Falkreath_Quest00			|Un Daedra pour ami
Falkreath_Quest01			|Sombre aïeul
Falkreath_Quest02			|Un soir au clair de lune
Falkreath_Quest03			|Mort au chef des bandits (Siddgeir)
Falkreath_Quest04			|Couper du petit bois (Hert)
Falkreath_Quest05			|Livraison (Thadgeir)
Falkreath_Quest06			|Fouiller le donjon (Runil)
Falkreath_Quest07			|Récolte des cultures (Mathies)
Falkreath_Quest08			|Précieux cadeaux (Siddgeir)
Falkreath_Quest09			|Un tout petit vol (Dengeir)
Falkreath_Quest10			|Thane d'Épervine
----------------------------------------------------------------------------
Markarth_Quest00			|Livraison discrète
Markarth_Quest01			|Acheter un objet dwemer
Markarth_Quest02			|Plaqué sang
Markarth_Quest03			|À l'attention de Calcelmo
Markarth_Quest04			|Mort au chef des Parjures (Igmund)
Markarth_Quest05			|Objet perdu
Markarth_Quest06			|Nimhe l'Empoisonneuse
Markarth_Quest07			|La mine de Cidhna
Markarth_Quest08			|Recherche et arrestation
Markarth_Quest09			|Apprentissage
Markarth_Quest10			|La conspiration des Parjures
Markarth_Quest11			|Le coeur de Dibella I
Markarth_Quest12			|Le coeur de Dibella II
Markarth_Quest13			|La maison des horreurs
Markarth_Quest14			|L'expédition perdue
Markarth_Quest15			|Le goût de la mort (Intro)
Markarth_Quest16			|Le goût de la mort
Markarth_Quest17			|Petite discussion (Omluag)
Markarth_Quest18			|Livraison (Banning)
Markarth_Quest19			|Fouiller le donjon (Jarl Igmund)
Markarth_Quest20			|Bagarre (Cosnach)
Markarth_Quest21			|Charité (Degaine)
Markarth_Quest22			|À votre santé (Degaine)
Markarth_Quest23			|À votre santé (Cosnach)
Markarth_Quest24			|Thane de la Crevasse
----------------------------------------------------------------------------
Morthal_Quest00				|Le secret de Falion 
Morthal_Quest01				|Pour Morthal
Morthal_Quest02				|Repose en paix
Morthal_Quest03				|Couper du petit bois (Hroggar)
Morthal_Quest04				|Couper du petit bois (Jorgen)
Morthal_Quest05				|Livraison (Idgrod)
Morthal_Quest06				|Bagarre (Benor)
Morthal_Quest07				|Précieux cadeaux (Lami)
Morthal_Quest08				|Thane de Hjaalmarche
----------------------------------------------------------------------------
Riften_Quest00				|À mains nues
Riften_Quest01				|Par ici l'épée !
Riften_Quest02				|La main dans le sac
Riften_Quest03				|Lointains souvenirs
Riften_Quest04				|Quelques services pour Ingun
Riften_Quest05				|Le retour de Sinistrale
Riften_Quest06				|Un coup de main
Riften_Quest07				|Jeu de piste
Riften_Quest08				|Froid comme la glace
Riften_Quest09				|Pèlerinage
Riften_Quest10				|Chose promise
Riften_Quest11				|Le joaillier
Riften_Quest12				|Marché conclu
Riften_Quest13				|Livraison spéciale
Riften_Quest14				|Message d'amour
Riften_Quest15				|Stabilisation
Riften_Quest16				|Feu nourri
Riften_Quest17				|L'offre et la demande
Riften_Quest18				|Thane de Faillaise
Riften_Quest19				|Les liens du mariage
Riften_Quest20				|Le livre d'amour
Riften_Quest21				|Quand l'amour s'en mêle
Riften_Quest22				|L'expédition
Riften_Quest23				|Grise mine
Riften_Quest24				|Sous la table
Riften_Quest25				|Profondeurs insondables
Riften_Quest26				|Dette de Vald
Riften_Quest27				|Charité (Edda)
Riften_Quest28				|Charité (Snilf)
----------------------------------------------------------------------------
Solitude_Quest00			|Livraison (Sorex)
Solitude_Quest01			|Hommage à Élisif
Solitude_Quest02			|Le luth de Finn
Solitude_Quest03			|L'étoffe du jarl
Solitude_Quest04			|Un vampire à tuer (Sybille Stentor)
Solitude_Quest05			|Extinction des feux
Solitude_Quest06			|Pas de nouvelles, bonnes nouvelles
Solitude_Quest07			|La flûte de Pantea
Solitude_Quest08			|Retour en grâce
Solitude_Quest09			|Tambour de Rjorn
Solitude_Quest10			|À petit feu
Solitude_Quest11			|L'homme qui criait au loup
Solitude_Quest12			|La folie incarnée
Solitude_Quest13			|Le vin épicé
Solitude_Quest14			|Le réveil de la Reine-louve
Solitude_Quest15			|Petite discussion (Octieve)
Solitude_Quest16			|Fouiller le donjon (Noster)
Solitude_Quest17			|Mort au chef des bandits (Ahtar)
Solitude_Quest18			|Charité (Dervenin)
Solitude_Quest19			|Charité (Noster)
Solitude_Quest20			|Charité (Svari)
Solitude_Quest21			|Précieux cadeaux (Aldis)
Solitude_Quest22			|Thane d'Haafingar
----------------------------------------------------------------------------
Whiterun_Quest00			|Amulette d'Arkay d'Andurs
Whiterun_Quest01			|Extraction de Bière argonienne
Whiterun_Quest02			|Malmener Braith
Whiterun_Quest03			|Un espadon pour une Grand homme
Whiterun_Quest04			|Un moment de besoin
Whiterun_Quest05			|Absent au combat
Whiterun_Quest06			|Des sels pour Arcadia
Whiterun_Quest07			|Grotte de l'Arbre endormi
Whiterun_Quest08			|Les bienfaits de la nature
Whiterun_Quest09			|La Porte murmurante
Whiterun_Quest10			|Petite discussion (Carlotta)
Whiterun_Quest11			|Couper du petit bois (Hulda)
Whiterun_Quest12			|Fouiller le donjon (Amren)
Whiterun_Quest13			|Bagarre (Uthgerd l'Inflexible)
Whiterun_Quest14			|Charité (Brenuin)
Whiterun_Quest15			|Charité (Lucia)
Whiterun_Quest16			|Précieux cadeaux (Ysolda)
Whiterun_Quest17			|Thane de Blancherive
----------------------------------------------------------------------------
Windhelm_Quest00			|Du sang sur la glace
Windhelm_Quest01			|Livraison (Hillevi)
Windhelm_Quest02			|Trouvez l'assassin thalmor
Windhelm_Quest03			|Rafistolage de Fiole
Windhelm_Quest04			|Résistance à l'Est
Windhelm_Quest05			|Ça a toujours été là (Revyn Sadri)
Windhelm_Quest06			|La Fiole blanche
Windhelm_Quest07			|Négociation (Explore-les-Marais)
Windhelm_Quest08			|Un tout petit vol (Pieds-dans-l'Eau)
Windhelm_Quest09			|Précieux cadeaux (Torbjorn)
Windhelm_Quest10			|À votre santé (Torbjorn)
Windhelm_Quest11			|Mort au chef des bandits (Brunwulf)
Windhelm_Quest12			|Un maître impitoyable
Windhelm_Quest13			|Thane d'Estemarche
Windhelm_Quest14			|Bagarre (Rolff)
Windhelm_Quest15			|Fouiller le donjon (Oengul)
Windhelm_Quest16			|Fouiller le donjon (Shahvee)
Windhelm_Quest17			|Livraison (Adonato)
Windhelm_Quest18			|Charité (Angrenor)
Windhelm_Quest19			|Charité (Silda)
----------------------------------------------------------------------------
Winterhold_Quest00			|Peines noyées
Winterhold_Quest01			|Petite discussion (Haran)
Winterhold_Quest02			|Fouiller le donjon (Jarl Korir)
Winterhold_Quest03			|À votre santé (Ranmir)
Winterhold_Quest04			|Un tout petit vol (Malur)
Winterhold_Quest05			|Thane de Fortdhiver
----------------------------------------------------------------------------
RavenRock_Quest00			|Pique et pique et colégram
RavenRock_Quest01			|Grand nettoyage
RavenRock_Quest02			|Jusqu'à plus soif
RavenRock_Quest03			|Livraison de gelée
RavenRock_Quest04			|Première édition
RavenRock_Quest05			|La descente finale
RavenRock_Quest06			|Une histoire de goût
RavenRock_Quest07			||La marche macabre
RavenRock_Quest08			|Acquittement
RavenRock_Quest09			|Coup de collier
RavenRock_Quest10			|Prohibition
RavenRock_Quest11			|Un plat qui se mange froid
----------------------------------------------------------------------------
SkaalVillage_Quest00		|Convaincre Nikulas
SkaalVillage_Quest01		|Les liens du sang
SkaalVillage_Quest02		|L'héritage perdu
SkaalVillage_Quest03		|Une nouvelle source de stalhrim
SkaalVillage_Quest04		|Une faveur pour Morwen
SkaalVillage_Quest05		|Mort au chef des bandits (Fanari)
----------------------------------------------------------------------------
SmallTowns_Quest00			|Une belle lettre
SmallTowns_Quest01			|La montée des marches
SmallTowns_Quest02			|Hydromel du Souffle du dragon
SmallTowns_Quest03			|Érik le Tueur
SmallTowns_Quest04			|Peaux d'ours
SmallTowns_Quest05			|Le voile se lève
SmallTowns_Quest06			|À moi, à toi
SmallTowns_Quest07			|Livraison spéciale
SmallTowns_Quest08			|La goutte d'eau en trop
SmallTowns_Quest09			|La Griffe d'or
SmallTowns_Quest10			|Couper du petit bois (Hod)
SmallTowns_Quest11			|Couper du petit bois (Horgeir)
SmallTowns_Quest12			|Couper du petit bois (Temba Grandbras)
SmallTowns_Quest13			|Récolte des cultures (Azzada Lylvieve)
SmallTowns_Quest14			|Récolte des cultures (Boti)
SmallTowns_Quest15			|Récolte des cultures (Lemkil)
SmallTowns_Quest16			|Récolte des cultures (Reldith)
SmallTowns_Quest17			|À votre santé (Embry)
SmallTowns_Quest18			|Charité (Narfi)
----------------------------------------------------------------------------
TelMithryn_Quest00	|Les bâtons d'Azra
TelMithryn_Quest01	|Nécropsie de Roncecoeur
TelMithryn_Quest02	|Cobaye (A)
TelMithryn_Quest03	|Cobaye (B)
TelMithryn_Quest04	|Retour aux cendres
TelMithryn_Quest05	|Remède pour une tour
TelMithryn_Quest06	|Coeur de pierre
TelMithryn_Quest07	|Chasse et cueillette
TelMithryn_Quest08	|Savoir perdu
TelMithryn_Quest09	|Une nouvelle dette
TelMithryn_Quest10	|De vieux amis
TelMithryn_Quest11	|Question d'intendance
TelMithryn_Quest12	|Recherches des Telvanni
TelMithryn_Quest13	|Vent et sable
----------------------------------------------------------------------------
Thirsk_Quest00	|Le chef de la salle des banquets
Thirsk_Quest01	|Un service pour Elmus (Baies)
Thirsk_Quest02	|Un service pour Elmus (Hydromel)
Thirsk_Quest03	|Un service pour Halbarn
Thirsk_Quest04	|Un service pour Hilund
Thirsk_Quest05	|Reprenez Thirsk
Thirsk_Quest06	|Rumeurs sur Thirsk
----------------------------------------------------------------------------
CollegeOfWinterhold_Quest00	|Premières leçons
CollegeOfWinterhold_Quest01	|Sous Saarthal
CollegeOfWinterhold_Quest02	|Les livres perdus
CollegeOfWinterhold_Quest03	|Les meilleures intentions
CollegeOfWinterhold_Quest04	|Révélation de l'invisible
CollegeOfWinterhold_Quest05	|État d'urgence
CollegeOfWinterhold_Quest06	|Le Bâton de Magnus
CollegeOfWinterhold_Quest07	|L'Oeil de Magnus
CollegeOfWinterhold_Quest08	|Le rituel d'altération
CollegeOfWinterhold_Quest09	|L'entreprise d'Arniel I
CollegeOfWinterhold_Quest10	|L'entreprise d'Arniel II
CollegeOfWinterhold_Quest11	|L'entreprise d'Arniel III
CollegeOfWinterhold_Quest12	|L'entreprise d'Arniel IV
CollegeOfWinterhold_Quest13	|L'entraînement de Brelyna
CollegeOfWinterhold_Quest14	|Le rituel de conjuration
CollegeOfWinterhold_Quest15	|Le rituel de destruction
CollegeOfWinterhold_Quest16	|Noms oubliés
CollegeOfWinterhold_Quest17	|Le rituel d'illusion
CollegeOfWinterhold_Quest18	|L'expérience de J'zargo
CollegeOfWinterhold_Quest19	|La demande d'Onmund
CollegeOfWinterhold_Quest20	|Le rituel de guérison
CollegeOfWinterhold_Quest21	|Les apprentis disparus
CollegeOfWinterhold_Quest22	|Réplique
CollegeOfWinterhold_Quest23	|Habile soustraction
CollegeOfWinterhold_Quest24	|Allez me chercher ce livre !
CollegeOfWinterhold_Quest25	|Gemmes spirituelles
CollegeOfWinterhold_Quest26	|Perte d'équilibre
CollegeOfWinterhold_Quest27	|Le vol des notes
CollegeOfWinterhold_Quest28	|Réapprovisionnement en gemmes spirituelles
CollegeOfWinterhold_Quest29	|Le mage renégat
CollegeOfWinterhold_Quest30	|Les réflexions de Shalidor
CollegeOfWinterhold_Quest31	|Tolfdir le Distrait
----------------------------------------------------------------------------
Companions_Quest00	|Prenez les armes
Companions_Quest01	|Une question d'honneur
Companions_Quest02	|La Main d'argent
Companions_Quest03	|Dette de sang
Companions_Quest04	|Pure vengeance
Companions_Quest05	|Gloire funèbre
Companions_Quest06	|Extermination animale (Bête)
Companions_Quest07	|Extermination animale (Antre)
Companions_Quest08	|Collection de peaux
Companions_Quest09	|Les chercheurs de dragons
Companions_Quest10	|Criminel en fuite
Companions_Quest11	|Héritage de famille
Companions_Quest12	|Mercenariat
Companions_Quest13	|Pureté (Farkas)
Companions_Quest14	|Pureté (Vilkas)
Companions_Quest15	|Mission de sauvetage
Companions_Quest16	|Récupération
Companions_Quest17	|Vol de plans
Companions_Quest18	|Au coeur de la cible
Companions_Quest19	|Les totems d'Hircine
Companions_Quest20	|Défense de Bordeciel
----------------------------------------------------------------------------
DarkBrotherhood_Quest00	|La fin de l'innocence
DarkBrotherhood_Quest01	|Les aléas du voyage
DarkBrotherhood_Quest02	|Mauvaises fréquentations
DarkBrotherhood_Quest03	|Le Sanctuaire
DarkBrotherhood_Quest04	|Un deuil impossible
DarkBrotherhood_Quest05	|Chuchotements dans l'obscurité
DarkBrotherhood_Quest06	|Révélation
DarkBrotherhood_Quest07	|Jusqu'à ce que la mort nous sépare
DarkBrotherhood_Quest08	|Un plan machiavélique
DarkBrotherhood_Quest09	|Comment soigner la folie
DarkBrotherhood_Quest10	|Fatale recette
DarkBrotherhood_Quest11	|L'assassinat d'un empire
DarkBrotherhood_Quest12	|La Mort incarnée
DarkBrotherhood_Quest13	|Gloire à Sithis !
DarkBrotherhood_Quest14	|Anéantissez la Confrérie noire !
DarkBrotherhood_Quest15	|Contrat : Tuer Agnis
DarkBrotherhood_Quest16	|Contrat : Tuer Anoriath
DarkBrotherhood_Quest17	|Contrat : Tuer Beitild
DarkBrotherhood_Quest18	|Contrat : Tuer Deekus
DarkBrotherhood_Quest19	|Contrat : Tuer Ennodius Papius
DarkBrotherhood_Quest20	|Contrat : Tuer Helvard
DarkBrotherhood_Quest21	|Contrat : Tuer Hern
DarkBrotherhood_Quest22	|Contrat : Tuer Lurbuk
DarkBrotherhood_Quest23	|Contrat : Tuer Maluril
DarkBrotherhood_Quest24	|Contrat : Tuer Ma'randru-jo
DarkBrotherhood_Quest25	|Contrat : Tuer Narfi
DarkBrotherhood_Quest26	|Contrat : Tuer Safia
DarkBrotherhood_Quest27	|Trouvez l'assassin d'autrefois
DarkBrotherhood_Quest28	|Prendre le trésor caché I
DarkBrotherhood_Quest29	|Prendre le trésor caché II
DarkBrotherhood_Quest30	|Prendre le trésor caché III
DarkBrotherhood_Quest31	|Prendre le trésor caché IV
DarkBrotherhood_Quest32	|On n'est bien que chez soi
DarkBrotherhood_Quest33	|Longue vie à la Confrérie noire
----------------------------------------------------------------------------
ThievesGuild_Quest00	|La supercherie de Bryjnolf
ThievesGuild_Quest01	|Les affaires sont les affaires
ThievesGuild_Quest02	|Sans ambiguïté
ThievesGuild_Quest03	|Découragement
ThievesGuild_Quest04	|L'imprudence de l'amateur
ThievesGuild_Quest05	|Le silence est d'or
ThievesGuild_Quest06	|Obscures réponses
ThievesGuild_Quest07	|La poursuite
ThievesGuild_Quest08	|La Trinité restaurée
ThievesGuild_Quest09	|Aveuglement
ThievesGuild_Quest10	|Le retour de l'ombre
ThievesGuild_Quest11	|Une nouvelle direction
ThievesGuild_Quest12	|Bienvenue dans la Famille
ThievesGuild_Quest13	|Tous les moyens sont bons
ThievesGuild_Quest14	|Tous les moyens sont bons (Intro)
ThievesGuild_Quest15	|Vols en pagaille
ThievesGuild_Quest16	|Receleur de caravane
ThievesGuild_Quest17	|Le jeu de la mort
ThievesGuild_Quest18	|Une amnistie méritée
ThievesGuild_Quest19	|Le bon côté des choses
ThievesGuild_Quest20	|Les Ombres de l'Automne
ThievesGuild_Quest21	|Le Sload douillet
ThievesGuild_Quest22	|Saccage
ThievesGuild_Quest23	|Cambriolage
ThievesGuild_Quest24	|Vol à la tire
ThievesGuild_Quest25	|Attaque armée
ThievesGuild_Quest26	|Faux et usage de faux
ThievesGuild_Quest27	|Pièce à conviction
ThievesGuild_Quest28	|Rapine
----------------------------------------------------------------------------
Dawnguard_Quest00	|Recruter de nouvelles forces
Dawnguard_Quest01	|Technologie ancienne
Dawnguard_Quest02	|Lumière purificatrice
Dawnguard_Quest03	|Cache-cache
Dawnguard_Quest04	|Chasse au monstre
Dawnguard_Quest05	|La justice du jarl
Dawnguard_Quest06	|Relique perdue
Dawnguard_Quest07	|Frappe préventive
Dawnguard_Quest08	|Sauvetage
----------------------------------------------------------------------------
Vampires_Quest00	|Les Amulettes de Magie nocturne
Vampires_Quest01	|Éradication de la Garde de l'aube
Vampires_Quest02	|Le cadeau
Vampires_Quest03	|Les Anneaux de Magie du sang
Vampires_Quest04	|Ancien pouvoir
Vampires_Quest05	|Mort à la bête
Vampires_Quest06	|Tromper le troupeau
Vampires_Quest07	|Nouvelles allégeances
Vampires_Quest08	|Protéger la lignée
Vampires_Quest09	|La chasse
----------------------------------------------------------------------------
Dungeons_Quest00	|Angarvunde
Dungeons_Quest01	|Ansilvund
Dungeons_Quest02	|L'affaire des harfreuses
Dungeons_Quest03	|Repentir
Dungeons_Quest04	|Assiégez le Culte du Dragon
Dungeons_Quest05	|Abysse d'Hiveronde
Dungeons_Quest06	|La Dame Pâle
Dungeons_Quest07	|Le parchemin d'Anska
Dungeons_Quest08	|Le culte ancestral
Dungeons_Quest09	|L'âge de raison
Dungeons_Quest10	|Refuge du menteur
Dungeons_Quest11	|Arquebrumes
Dungeons_Quest12	|Un service pour Telrav
Dungeons_Quest13	|Ragnvald
Dungeons_Quest14	|Cairn du rebelle
Dungeons_Quest15	|Gorge des voleurs
Dungeons_Quest16	|Le sauveur de Selveni Nethri
Dungeons_Quest17	|Infiltration
Dungeons_Quest18	|Les trois réceptacles
Dungeons_Quest19	|Volskygge
Dungeons_Quest20	|La loi du silence
Dungeons_Quest21	|Le tertre d'Yngol
----------------------------------------------------------------------------
Misc_DB_Quest00	|Le Balafré
Misc_DB_Quest01	|Le guerrier d'ébonite
Misc_DB_Quest02	|La folie de Hrodulf
Misc_DB_Quest03	|Les épreuves de Kagrumez
Misc_DB_Quest04	|Invoquer Karstaag
Misc_DB_Quest05	|Sorti de terre
Misc_DB_Quest06	|Livre noir - Les légendes inconnues
Misc_DB_Quest07	|Livre noir - L'heure du changement
Misc_DB_Quest08	|Livre noir - Le régent au teint jaune
Misc_DB_Quest09	|Livre noir - Filament et filigrane
Misc_DB_Quest10	|Livre noir - Le crépuscule caché
----------------------------------------------------------------------------
Misc_DG_Quest00	|Apprendre un cri (Durnehviir)
Misc_DG_Quest01	|Quête des livres du Val oublié
Misc_DG_Quest02	|L'impatience d'un saint
Misc_DG_Quest03	|Perdue dans les âges
Misc_DG_Quest04	|Arvak
----------------------------------------------------------------------------
Side_SK_Quest00	|L'amulette de lune
Side_SK_Quest01	|Extraire un Argonien
Side_SK_Quest02	|Le message de Gharol
Side_SK_Quest03	|Les épreuves sacrées de Kyne
Side_SK_Quest04	|Mains du Forgeron
Side_SK_Quest05	|La fuite ou le combat
Side_SK_Quest06	|Les Mots de puissance
Side_SK_Quest07	|Mine de Sanuarach
Side_SK_Quest08	|Mine de Kolskeggr
Side_SK_Quest09	|Les sels de givre de Dravynea
Side_SK_Quest10	|La tribu maudite
Side_SK_Quest11	|Respect du maître
Side_SK_Quest12	|Grotte de Vertemousse
Side_SK_Quest13	|Le fantôme du Vieux-Hroldan
Side_SK_Quest14	|L'appel de Boéthia
Side_SK_Quest15	|Lettre de Rogatus
Side_SK_Quest16	|Doux jazbay
Side_SK_Quest17	|La quête de l'extraordinaire
Side_SK_Quest18	|Étoile noire
Side_SK_Quest19	|Le seul remède
Side_SK_Quest20	|Doline de Soljund
Side_SK_Quest21	|La lumière de l'aube
Side_SK_Quest22	|Livraison de paiement
Side_SK_Quest23	|Une nuit mémorable
Side_SK_Quest24	|Une légende interdite
Side_SK_Quest25	|La Nirnroot cramoisie
