----------------------------------------------------------------------------
-- To change the localised text simply change the text after the single '|'
-- Do not change anything in the 'Keys' collumn or the translation will fail
-- Do not change / delete any line numbers or add new lines in the file.
----------------------------------------------------------------------------

- DO NOT CHANGE

MODNAME1						|Completionist : Principal
Barenziah_Text03				|~~~ Le Sload douillet ~~~\nCette Pierre de Barenziah se trouve dans la dernière pièce, sur la table.
Barenziah_Text04				|~~~ Sanctuaire de la Confrérie noire ~~~\nCette Pierre de Barenziah se trouve sur la commode de la chambre d'Astrid.
Barenziah_Text05				|~~~ Rocher de la Mégère ~~~\nCette Pierre de Barenziah se trouve sur l'autel de pierre en face du Mur de Mots.
Barenziah_Text06				|~~~ Château de Clairlande ~~~\nCette Pierre de Barenziah se trouve en haut des escaliers à droite.
Barenziah_Text07				|~~~ Grotte de Sourcechaude ~~~\nCette Pierre de Barenziah se trouve près du laboratoire d'alchimie, sous le pont, dans la zone nord-ouest des grottes.
Barenziah_Text08				|~~~ Markarth I ~~~\nCette Pierre de Barenziah se trouve dans la Salle du Trésor, sur la table de chevet de Thonar.
Barenziah_Text09				|~~~ Markarth II ~~~ \nCette Pierre de Barenziah se trouve dans le musée dwemer du château de Coeur-de-Roche, sur la table dans la première pièce à gauche.
Barenziah_Text10				|~~~ Gardepins ~~~\nCette Pierre de Barenziah se trouve au sous-sol. Appuyez sur le bouton caché à droite de la bibliothèque qui donne accès à la cachette des bandits. La Pierre se trouve dans une pièce verrouillée du repaire.
Barenziah_Text11				|~~~ Vif de Rannveig ~~~\nCette Pierre de Barenziah se trouve à côté du laboratoire d'alchimie et du coffre sur la droite, après être tombé dans la trappe devant le coffre et le Mur de Mots.
Barenziah_Text12				|~~~ Faillaise ~~~\nCette Pierre de Barenziah se trouve dans la chambre du jarl du château d'Embruine. Montez les escaliers et passez la porte centrale verrouillée. Elle est sur la table de nuit à gauche du lit.
Barenziah_Text13				|~~~ Solitude I ~~~\nCette Pierre de Barenziah se trouve dans la chambre du jarl du Palais bleu, à droite du lit, au-dessus de l'armoire.
Barenziah_Text14				|~~~ Solitude II ~~~\nCette Pierre de Barenziah se trouve dans le manoir de Hauteflèche. Vous devez d'abord acheter la maison et la Pierre se trouve au dernier étage, dans la chambre principale, au-dessus de l'armoire, derrière la porte.
Barenziah_Text15				|~~~ Grotte de la Crique pierreuse ~~~\nCette Pierre de Barenziah se trouve sur la table à côté du laboratoire d'alchimie, dans la pièce sur le côté.
Barenziah_Text16				|~~~ Gorge de Scindepierre ~~~\nCette Pierre de Barenziah se trouve sur la table avec deux corps devant le Mur de Mots.
Barenziah_Text17				|~~~ Ambassade du Thalmor/Grotte puante ~~~\nCette Pierre de Barenziah se trouve dans les quartiers d'Elenwen au deuxième étage de l'ambassade du Thalmor. ou dans la Grotte puante à côté d'un cadavre, selon votre version de Skyrim.
Barenziah_Text18				|~~~ Blancherive I ~~~\nCette Pierre de Barenziah se trouve dans les catacombes de la nécropole. Descendez les escaliers de gauche et elle sera à votre gauche, à côté d'un squelette.
Barenziah_Text19				|~~~ Blancherive II ~~~\nCette Pierre de Barenziah se trouve dans la chambre du jarl de Fort-Dragon, sur la table de chevet de droite.
Barenziah_Text20				|~~~ Blancherive III ~~~\nCette Pierre de Barenziah se trouve dans les quartiers de Jorrvaskr, sur l'étagère de la chambre de Kodlak.
Barenziah_Text21				|~~~ Vendeaume I ~~~\nCette Pierre de Barenziah se trouve dans la maison du clan Brise-Bouclier, sur une étagère dans la pièce à gauche en haut des escaliers.
Barenziah_Text22				|~~~ Vendeaume II ~~~\nCette Pierre de Barenziah se trouve à l'étage du Palais des Rois. Prenez la première porte à gauche en entrant dans le palais, puis trouvez la chambre de Wuunferth au bout du couloir. La Pierre est sur une table sur la droite de la pièce.
Barenziah_Text23				|~~~ Yngvild ~~~\nCette Pierre de Barenziah se trouve dans la chambre derrière le trône de la salle du trône d'Yngvild.
----------------------------------------------------------------------------
LogPrefix_Col					|Collectés : 
LogPrefix_Dis					|Découverts : 
LogPrefix_Lea					|Appris : 
LogPrefix_Obt					|Obtenus : 
LogPrefix_Bar					|Pierres de Barenziah : 
LogPrefix_Tam					|Apprivoisés : 
LogPrefix_Sho					|Cris appris : 
LogPrefix_Wor					|Mots de pouvoir appris : 
LogPrefix_Fis					|Poissons attrapés : 
LogPrefix_Boo					|Lus : 
LogPrefix_Tom					|Consommés : 
